"Internal - All"
"Original Url","Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","Size","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://smallseotools.com/","https://smallseotools.com/","text/html; charset=UTF-8","200","OK","Indexable","","100% Free SEO Tools - SmallSEOTools.com","39","362","","0","0","You need effective SEO tools which are 100% free? Check out our Search Engine Optimization tools for checking backlinks, tracking keyword positions and more.","157","943","","0","Text Content Tools","18","","0","Images Editing Tools","20","Keywords Tools","14","","","https://smallseotools.com/","","","144456","961","4.3024006","0","","4","1","10.0","229","201","7","7","fb3f09e5810efd2b2a2c354756f7e64b","7.241","","","","https://smallseotools.com/"
"https://www.powr.io/","https://www.powr.io/","text/html; charset=utf-8","200","OK","Indexable","","Top 50 Free Website Plugins to supercharge your site","52","430","","0","0","A full library of free and customizable forms, galleries, social streams, e-commerce, countdowns, and more.","107","625","plugins, website tools, business tools, widgets, add-ons, modules, extensions","77","Make your website more powerful.","32","","0","Join Millions of Small Businesses","33","What do you want to do today?","29","index,follow","","https://www.powr.io/","","","143527","1330","5.6857657","0","","11","1","10.0","61","30","4","4","2b1fc9cefb1a42aac743b534b0120e53","2.016","","","","https://www.powr.io/"
"https://owncloud.org/","https://owncloud.org/","text/html; charset=UTF-8","200","OK","Indexable","","✔ ownCloud - The leading OpenSource Cloud Collaboration Platform.","65","556","","0","0","Access & share your files, calendars, contacts, mail & more from any device; on your terms. Get your ownCloud today and protect your data.","138","820","","0","ownCloud","8","With over 50 million users worldwide ownCloud is the largest Open Source Content Collaboration Platform in the world","116","The last cloud collaboration file sharing file syncing data privacy platform you'll ever need.","94","Your personal cloud collaboration platform","42","","","https://owncloud.org/","","","57177","1365","15.573441","0","","2","1","10.0","94","45","35","22","b5016792d0abbe9ea91db7beae85e499","0.881","Mon, 30 Sep 2019 18:12:43 GMT","","","https://owncloud.org/"
"https://css-tricks.com/","https://css-tricks.com/","text/html; charset=UTF-8","200","OK","Indexable","","CSS-Tricks","10","91","","0","0","Daily articles about CSS, HTML, JavaScript, and all things related to web design and development.","97","574","","0","The Many Ways to Link Up Shapes and Images with HTML and CSS","60","","0","Popular this month","18","Making a Realistic Glass Effect with SVG","40","","","https://css-tricks.com/","https://css-tricks.com/page/2/","","104049","1624","9.635184","0","","3","1","10.0","181","111","44","33","3085f5217211664cce19a0e6736734ee","0.218","","","","https://css-tricks.com/"
"https://www.scribens.com/","https://www.scribens.com/","text/html; charset=utf-8","200","OK","Indexable","","Free, Powerful English Grammar Checker | SCRIBENS","49","441","","0","0","Scribens is a free online Grammar Checker that corrects over 250 types of common grammar, spelling mistakes and detects stylistic elements such as repetitions, run-on sentences, redundancies and more.","200","1197","","0","English grammar check","21","OnlinePROOFREADING","18","","0","","0","","","","","","26056","368","10.127846","0","","4","1","10.0","6","2","5","5","348ed78f93315cb92f8736224a84e42a","0.523","Sat, 28 Sep 2019 12:52:41 GMT","","","https://www.scribens.com/"
"https://nextcloud.com/","https://nextcloud.com/","text/html","200","OK","Indexable","","Nextcloud","9","80","Nextcloud - the most popular self-hosted Content Collaboration Platform!","72","579","Nextcloud is the most deployed on-premises file share and collaboration platform. Access & collaborate across your devices. Your data remains under your control.","161","947","","0","Protecting your data","20","See how we stack up","19","The self-hosted productivity platform that keeps you in control","63","Powering collaboration","22","","","https://nextcloud.com/","","","65470","886","9.323678","0","","6","1","10.0","114","73","11","10","c0fd0ac572883b06b4b43fb310556a3c","1.109","Tue, 01 Oct 2019 10:46:14 GMT","","","https://nextcloud.com/"
"https://vivaldi.com","https://vivaldi.com/","text/html; charset=UTF-8","200","OK","Indexable","","Vivaldi — The browser that puts you in control","46","367","","0","0","Your browser matters. Vivaldi is a new browser with unrivaled customization and control. Fast, secure and flexible – this is a browser made for you.","148","853","","0","Vivaldi Android Beta","20","Your browser matters. Take control with Vivaldi.","48","Vivaldi Android Beta","20","Check out our latest news","25","","","https://vivaldi.com/","","","48191","683","8.916906","0","","6","3","30.0","105","37","26","17","95c01af144c78780c993360d587e6ff2","1.156","","","","https://vivaldi.com/"
"https://imap.vivaldi.net/webmail/","https://imap.vivaldi.net/webmail/","text/html; charset=UTF-8","200","OK","Indexable","","Vivaldi Webmail :: Welcome to Vivaldi Webmail","45","376","","0","0","","0","0","","0","Vivaldi Webmail Login","21","","0","","0","","0","","","","","","8407","43","3.3067682","0","","5","3","30.0","3","3","1","1","ba073ba85ed78f4f04ee4306385033f5","0.935","Tue, 01 Oct 2019 17:21:17 GMT","","","https://imap.vivaldi.net/webmail/"
"https://forum.vivaldi.net","https://forum.vivaldi.net/","text/html; charset=utf-8","200","OK","Indexable","","Home | Vivaldi Forum","20","173","","0","0","Join the Vivaldi Community to connect with friends from around the world and discuss technology, the future of the web, and development of the Vivaldi Browser.","159","933","","0","Categories","10","","0","Local Forum","11","Announcements","13","","","","","","269976","379","0.92239416","0","","13","3","30.0","75","65","33","29","3cab77e76869aecfca27d3ac00d96721","1.241","","","","https://forum.vivaldi.net/"
"https://vivaldi.net","https://vivaldi.net/","text/html; charset=UTF-8","200","OK","Indexable","","Vivaldi Community","17","149","","0","0","Create a Vivaldi account to Sync your browsing data, access free webmail, blogging platform and tech forum.","107","633","","0","Vivaldi Community","17","High five! We’ve hit some great results!","40","","0","","0","index, follow","","https://vivaldi.net/","","","45685","1050","13.870811","0","","9","3","30.0","46","36","35","31","bfd52ef3708ae9d86164a62d9dd250cd","1.305","","","","https://vivaldi.net/"
